number,flag,text
500000,0,Reputation aversion triggered.
500001,0,I have no reaction to you.
500002,0,I am going home.
500003,0,Searching.
500004,0,"Idle, wandering."
500005,0,Bugging out of combat due to flags.
500006,0,You are no longer muted.
500007,0,You are no longer frozen.
500008,0,You are no longer invulnerable.
500009,0,Swinging
500010,0,No scripts
500011,0,No vars
500012,0,You cannot use skills while dead.
500013,0,You cannot use skills.
500014,0,That skill cannot be used directly.
500015,0,You do not have that spell!
500016,0,You do not have that spell!
500017,0,Bank is now ON!
500018,0,Bank is now OFF
500019,0,Bad param.  Bank is currently ON
500020,0,Bad param.  Bank is currently OFF
500021,0,Usage: .addres bank|world resourcetype (amount)
500022,0,You are not in a resource region.
500023,0,Bad sethue.
500024,0,Opening door...
500025,0,Mem report written
500026,0,Could not open file for appending
500027,0,Memory debugging not enabled
500028,0,Could not open reslist.txt for writing on server
500029,0,Wrote reslist.txt on server
500030,0,Truuuuuuuue.
500031,0,Nosir.
500032,0,No such object.
500033,0,Target not found.
500034,0,Target not found.
500035,0,Target not found.
500036,0,Target not found.
500037,0,Usage: become template_number
500038,0,Success!
500039,0,Failed!
500040,0,Game master mode on
500041,0,Game master mode off
500042,0,Usage: gm [on|off]
500043,0,Target not found.
500044,0,Target not found.
500045,0,Target not found.
500046,0,Target not found.
500047,0,Target not found.
500048,0,Target not found.
500049,0,Target not found.
500050,0,Target not found.
500051,0,Target not found.
500052,0,Target not found.
500053,0,Target not found.
500054,0,Target not found.
500055,0,Target not found.
500056,0,Fight started
500057,0,Target not found.
500058,0,Teleport storm started.
500059,0,Object not found
500060,0,Object not found
500061,0,Object not found
500062,0,Usage: getplayers num x y z
500063,0,Player not found
500064,0,Player not found
500065,0,Object not found
500066,0,Usage: multi_repos id x y z
500067,0,Done!
500068,0,Invalid multi template id
500069,0,Usage: multi_nosend id value
500070,0,Done!
500071,0,Invalid multi template id
500072,0,Usage: decay_test value
500073,0,Decay test on!
500074,0,Decay test off!
500075,0,Starting atrophy.
500076,0,Invalid transfer location
500077,0,Invalid transfer location
500078,0,Jailing player
500079,0,"You have no current player set, sorry"
500080,0,"Victim has no unjail location set, use release."
500081,0,Unjailing player
500082,0,"You have no current player set, sorry"
500083,0,Invalid release location
500084,0,"Sorry, that would transfer a non-Gold player to a Gold area."
500085,0,Releasing player
500086,0,"You have no current player set, sorry"
500087,0,GM help request entered.
500088,0,Unknown counselor command
500089,0,No current help request.
500090,0,Going to current player
500091,0,Current help request invalid
500092,0,Removed previous player from queue
500093,0,There are no pending queue entries
500094,0,Going to next player
500095,0,Transfered request to GM queue
500096,0,"You have no current player set, sorry"
500097,0,Player request relinquished
500098,0,That queue entry does not exist
500099,0,Player request relinquished
500100,0,Invalid location
500101,0,Player request relinquished
500102,0,"You have no current player set, sorry"
500103,0,Player request cleared from queue
500104,0,"You have no current player set, sorry"
500105,0,"Invalid request, player request cleared from queue"
500106,0,You are not currently handling a help request
500107,0,No such player.
500108,0,Your mount is too fatigued to move.
500109,0,"You are too fatigued to move, because you are carrying too much weight!"
500110,0,You are too fatigued to move.
500111,0,You are frozen and cannot move.
500112,0,You are now under the protection of the town guards.
500113,0,You have left the protection of the town guards.
500114,0,You are now under the protection of the town guards.  Cry out for the 'guards' if you find yourself in need!
500115,0,Beware! You have left the protection of the town guards and have considerably less protection from attack!  You should head back toward town if you are not yet prepared!
500116,0,Your spirit rejoins your body.
500117,0,"With some effort, you reunite your spirit and your body."
500118,0,You must wait a few moments to use another skill.
500119,0,You must wait to perform another action.
500120,0,Your crime is considered self-defense.
500121,0,"Notoriety wanted to drop, but oneWay prevented it."
500122,0,"Notoriety wanted to raise, but oneWay prevented it."
500123,0,Group formed and member added
500124,0,Group formed.
500125,0,"I left my group, and appointed a new leader."
500126,0,Group disbanded!
500127,0,I've joined a group.
500128,0,I've left a group.
500129,0,Attacking a pet!
500130,0,"Thou has not the gold to pay for your crimes.  For that, you die."
500131,0,"Thou wilt regret thine actions, swine!"
500132,0,I am fatigued!
500133,0,Your mount is very fatigued.
500134,0,You stop meditating.
500135,0,Regenerative forces cannot penetrate your armor.
500136,0,Reconnecting.
500137,0,Calling IsMoveable.....
500138,0,"mulitcomp, No Go"
500139,0,"editing, OK"
500140,0,"No Draw, No Go"
500141,0,"Corpse, No GO"
500142,0,"To heavy or something, no go"
